value,voltage
256,0.016113527122911423
256,0.00966811627374685
192,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.003222705424582284
64,0.003222705424582284
64,0.003222705424582284
0,0.0
0,0.0
64,0.00966811627374685
256,0.012890821698329136
256,0.00966811627374685
192,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
192,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
192,0.00966811627374685
128,0.006445410849164568
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.012890821698329136
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.006445410849164568
256,0.012890821698329136
256,0.00966811627374685
192,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.00966811627374685
256,0.012890821698329136
192,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.012890821698329136
256,0.012890821698329136
192,0.00966811627374685
128,0.006445410849164568
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
192,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
128,0.00966811627374685
256,0.012890821698329136
192,0.00966811627374685
128,0.006445410849164568
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.012890821698329136
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.012890821698329136
192,0.006445410849164568
128,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.00966811627374685
256,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
128,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.012890821698329136
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.012890821698329136
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
192,0.006445410849164568
128,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.00966811627374685
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.00966811627374685
256,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
128,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
192,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
192,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.012890821698329136
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.012890821698329136
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
128,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.00966811627374685
256,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
192,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.006445410849164568
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.006445410849164568
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.012890821698329136
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
128,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.00966811627374685
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.006445410849164568
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.00966811627374685
192,0.012890821698329136
256,0.006445410849164568
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
192,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.006445410849164568
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.006445410849164568
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
128,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.00966811627374685
256,0.00966811627374685
128,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.00966811627374685
256,0.00966811627374685
128,0.006445410849164568
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.012890821698329136
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.00966811627374685
256,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
128,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.006445410849164568
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.012890821698329136
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.012890821698329136
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.012890821698329136
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.012890821698329136
256,0.012890821698329136
128,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
128,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.012890821698329136
128,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.006445410849164568
192,0.012890821698329136
256,0.006445410849164568
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
128,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.012890821698329136
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
128,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.00966811627374685
256,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
128,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
128,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.006445410849164568
192,0.012890821698329136
256,0.006445410849164568
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
192,0.012890821698329136
192,0.006445410849164568
128,0.006445410849164568
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.006445410849164568
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
128,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
128,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.00966811627374685
192,0.012890821698329136
256,0.006445410849164568
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.00966811627374685
256,0.00966811627374685
128,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.00966811627374685
192,0.012890821698329136
256,0.006445410849164568
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.00966811627374685
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.00966811627374685
256,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0193362325474937
448,0.012890821698329136
0,0.0
128,0.00966811627374685
192,0.006445410849164568
64,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
64,0.003222705424582284
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
128,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.012890821698329136
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.006445410849164568
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.00966811627374685
256,0.012890821698329136
192,0.006445410849164568
128,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.012890821698329136
256,0.012890821698329136
192,0.00966811627374685
128,0.006445410849164568
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.012890821698329136
256,0.012890821698329136
192,0.006445410849164568
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
192,0.012890821698329136
256,0.00966811627374685
128,0.006445410849164568
128,0.003222705424582284
